time,x,y,z
0,280,281,157
1,279,281,156
2,279,281,157
3,278,279,158
4,277,280,156
5,279,280,155
6,279,280,154
7,278,280,157
8,277,280,158
9,276,280,156
10,279,280,156
11,277,280,157
12,278,278,158
13,278,280,158
14,278,280,157
15,279,280,156
16,277,280,159
17,277,281,161
18,276,281,159
19,279,281,158
20,279,281,160
21,278,280,161
22,277,281,159
23,278,281,159
24,278,281,158
25,277,281,160
26,277,282,160
27,277,281,157
28,279,280,156
29,279,281,158
30,277,280,158
31,277,280,156
32,278,282,155
33,279,281,153
34,278,281,156
35,278,281,157
36,278,282,155
37,279,282,153
38,279,282,155
39,278,281,154
40,277,282,154
41,279,282,153
42,279,282,154
43,277,282,155
44,278,282,158
45,277,282,156
46,279,281,156
47,279,281,158
48,276,280,158
49,276,280,157
50,278,280,157
51,278,280,157
52,277,280,158
53,277,280,160
54,277,279,159
55,279,279,158
56,279,280,159
57,277,279,160
58,277,280,159
59,279,280,158
60,279,280,159
61,278,280,161
62,277,279,161
63,277,281,158
64,280,281,158
65,279,281,159
66,278,281,159
67,278,281,158
68,279,282,156
69,280,281,157
70,278,280,157
71,278,281,157
72,278,282,155
73,278,282,154
74,279,282,155
75,277,282,156
76,276,282,153
77,278,282,153
78,279,281,154
79,277,280,155
80,277,282,156
81,277,281,154
82,278,281,154
83,278,281,157
84,276,280,158
85,275,280,157
86,278,280,157
87,278,280,158
88,277,279,159
89,277,280,160
90,278,280,157
91,279,280,157
92,278,280,159
93,278,280,160
94,276,281,158
95,280,280,158
96,280,280,158
97,278,280,158
98,278,281,159
99,280,280,157
100,280,281,155
101,279,281,158
102,278,281,158
103,277,281,156
104,280,281,156
105,279,281,156
106,277,280,157
107,277,281,157
108,278,281,155
109,279,282,153
110,278,282,156
111,277,281,156
112,274,281,154
113,279,282,154
114,278,282,155
115,276,280,156
116,276,282,156
117,278,281,155
118,278,280,154
119,277,281,154
120,277,280,158
121,276,280,157
122,278,280,157
123,279,280,159
124,278,279,160
125,277,280,160
126,279,278,159
127,279,280,158
128,278,280,161
129,278,280,162
130,276,280,160
131,279,280,159
132,280,281,160
133,278,279,160
134,277,281,160
135,279,281,158
136,280,281,156
137,278,281,158
138,278,282,159
139,277,281,155
140,279,281,154
141,279,281,155
142,278,280,155
143,277,281,154
144,279,282,152
145,279,281,152
146,278,281,154
147,277,281,155
148,275,281,154
149,279,281,154
150,279,281,155
151,277,280,156
152,275,281,156
153,278,282,155
154,279,280,155
155,277,281,158
156,277,281,159
157,276,281,158
158,280,281,158
159,279,280,159
160,277,279,160
161,278,280,160
162,279,280,159
163,279,280,158
164,278,280,160
165,278,280,161
166,277,280,159
167,279,280,158
168,280,280,160
169,278,280,160
170,278,280,159
171,279,281,157
172,279,282,159
173,278,280,158
174,277,281,159
175,277,281,156
176,278,281,157
177,279,281,157
178,278,280,158
179,277,282,157
