timestamp,x,y,z
0,312,284,290
1,310,284,288
2,312,280,281
3,311,284,281
4,309,284,278
5,309,282,279
6,309,284,284
7,309,284,288
8,310,286,290
9,309,286,287
10,309,284,284
11,309,282,280
12,309,284,280
13,309,284,284
14,310,285,286
15,309,286,288
16,309,286,288
17,309,286,284
18,309,285,282
19,309,282,278
20,309,282,280
21,309,284,284
22,309,286,288
23,310,286,288
24,309,284,286
25,309,282,284
26,309,282,280
27,309,284,280
28,309,284,280
29,309,285,286
30,309,287,288
31,309,286,288
32,309,284,284
33,309,282,282
34,310,282,280
35,309,284,282
36,309,286,284
37,309,286,285
38,309,286,288
39,310,286,288
40,309,285,284
41,309,284,282
42,309,282,280
43,309,282,281
44,310,284,284
45,309,286,286
46,309,285,286
47,310,286,286
48,310,288,284
49,310,286,284
50,310,281,282
51,310,280,282
52,309,282,284
53,309,285,284
54,309,288,284
55,309,287,284
56,309,286,285
57,309,286,284
58,309,284,282
59,309,281,282
60,309,280,284
61,309,282,284
62,309,286,285
63,309,288,284
64,309,286,284
65,309,285,284
66,310,284,284
67,309,284,284
68,309,281,284
69,309,281,284
70,309,284,284
71,310,287,284
72,310,288,284
73,309,286,286
74,310,284,286
75,309,284,286
76,310,282,284
77,309,281,281
78,309,284,280
79,309,286,284
80,309,288,285
81,310,288,288
82,309,286,286
83,309,282,285
84,309,284,284
85,310,282,281
86,309,282,281
87,309,284,284
88,309,287,286
89,309,288,286
90,310,287,286
91,309,284,284
92,309,282,284
93,310,284,284
94,309,282,282
95,309,282,284
96,309,284,284
97,310,287,284
98,309,288,285
99,309,286,285
100,309,284,284
101,309,281,284
102,309,284,284
103,309,286,284
104,309,284,284
105,309,284,285
106,309,284,284
107,309,284,284
108,309,284,282
109,309,284,282
110,309,284,284
111,309,286,286
112,309,284,286
113,309,281,286
114,309,280,284
115,309,284,281
116,309,286,280
117,309,286,284
118,309,286,286
119,310,285,288
120,309,286,286
121,309,284,284
122,309,279,281
123,308,279,280
124,309,284,281
125,309,288,285
126,309,288,288
127,309,286,289
128,309,284,286
129,309,284,284
130,309,281,280
131,309,280,278
132,310,284,282
133,309,288,286
134,309,290,288
135,309,286,289
136,310,284,286
137,309,281,284
138,309,282,280
139,309,284,280
140,309,284,281
141,309,284,285
142,309,287,287
143,309,286,287
144,309,284,286
145,309,284,284
146,309,282,282
147,309,284,282
148,309,284,284
149,309,282,284
150,309,282,286
151,309,284,284
152,309,287,284
153,309,286,284
154,309,286,284
155,309,284,286
156,309,282,286
157,309,282,284
158,309,282,281
159,309,284,281
160,309,286,282
161,310,287,286
162,309,286,288
163,309,285,288
164,310,284,286
165,310,284,284
166,309,282,280
167,309,279,278
168,309,284,284
169,309,288,286
170,309,290,288
171,309,286,287
172,310,284,284
173,309,280,284
174,310,281,280
175,309,282,281
176,309,284,284
177,309,286,286
178,309,288,288
179,309,286,286
180,309,280,285
181,309,279,282
182,310,282,281
183,309,287,282
184,309,288,284
185,310,284,284
