timestamp,x,y,z
0,310,285,284
1,308,285,284
2,310,284,284
3,310,284,284
4,309,284,284
5,308,286,284
6,314,287,284
7,314,287,284
8,309,286,284
9,309,285,284
10,309,282,282
11,309,282,282
12,308,286,284
13,308,287,286
14,309,286,286
15,309,284,284
16,308,282,284
17,309,284,284
18,309,284,282
19,308,284,282
20,309,284,284
21,310,284,284
22,309,287,284
23,308,285,285
24,309,284,284
25,309,281,284
26,312,284,284
27,308,284,284
28,309,284,284
29,309,284,284
30,309,287,284
31,308,287,284
32,308,284,284
33,310,280,284
34,309,281,284
35,308,284,284
36,308,286,284
37,309,285,284
38,308,286,286
39,309,286,284
40,308,286,284
41,308,284,284
42,308,282,284
43,310,280,284
44,308,284,284
45,309,286,284
46,309,286,284
47,309,286,286
48,309,286,284
49,309,285,284
50,309,284,284
51,310,281,284
52,309,284,284
53,309,286,284
54,309,286,284
55,309,284,284
56,309,284,284
57,309,285,284
58,309,284,284
59,309,284,284
60,309,284,284
61,309,285,284
62,310,284,284
63,308,286,284
64,309,284,284
65,309,284,284
66,309,284,284
67,309,284,284
68,309,284,284
69,308,284,284
70,309,286,284
71,309,287,284
72,308,287,284
73,309,284,282
74,308,282,284
75,309,284,284
76,308,284,284
77,309,284,284
78,309,284,284
79,309,286,284
80,309,286,284
81,308,285,284
82,309,284,282
83,309,282,284
84,309,286,284
85,310,284,284
86,308,284,285
87,309,284,284
88,309,284,284
89,309,285,284
90,309,286,284
91,308,286,284
92,309,284,284
93,309,284,284
94,309,284,284
95,309,284,284
96,309,285,284
97,309,286,284
98,309,286,284
99,308,284,284
100,308,282,284
101,309,282,284
102,309,286,284
103,309,286,284
104,308,284,284
105,309,284,284
106,308,285,284
107,309,286,284
108,309,285,284
109,309,284,284
110,310,279,284
111,309,284,284
112,309,286,284
113,309,284,284
114,309,284,284
115,308,284,284
116,309,284,284
117,309,284,284
118,308,285,284
119,309,284,284
120,310,282,284
121,309,284,284
122,309,284,284
123,309,284,284
124,309,286,284
125,309,284,284
126,309,284,285
127,309,284,285
128,308,284,284
129,308,287,284
130,309,286,282
131,309,284,284
132,309,282,284
