timestamp,x,y,z
0,310,286,286
1,312,286,285
2,309,285,284
3,309,284,282
4,309,281,282
5,311,280,282
6,311,282,284
7,311,287,286
8,309,288,286
9,309,286,285
10,308,284,284
11,309,282,284
12,309,282,282
13,308,282,284
14,309,282,284
15,308,284,285
16,308,287,285
17,310,285,284
18,310,284,284
19,310,284,284
20,309,284,284
21,309,282,284
22,309,282,284
23,309,284,284
24,309,284,284
25,309,286,284
26,309,286,284
27,309,284,284
28,310,284,285
29,309,284,284
30,309,284,284
31,308,284,282
32,310,284,284
33,308,284,285
34,309,286,286
35,308,286,285
36,308,284,284
37,309,282,284
38,308,284,284
39,309,284,284
40,309,284,284
41,310,284,284
42,308,284,284
43,309,284,284
44,309,284,284
45,308,282,284
46,309,284,284
47,309,285,284
48,308,285,284
49,309,284,284
50,308,284,282
51,310,284,284
52,308,287,284
53,308,287,284
54,308,284,284
55,309,282,284
56,308,284,284
57,309,284,282
58,309,284,282
59,309,284,284
60,309,284,286
61,309,286,286
62,309,286,284
63,308,284,282
64,310,281,282
65,309,284,284
66,309,284,284
67,309,285,285
68,309,286,285
69,309,285,284
70,308,286,282
71,309,285,282
72,309,284,282
73,308,284,284
74,310,286,286
75,309,286,285
76,309,284,284
77,308,282,284
78,308,282,282
79,309,284,284
80,309,287,284
81,309,286,284
82,309,284,284
83,309,284,284
84,308,282,284
85,308,282,284
86,309,284,284
87,309,285,286
88,309,286,286
89,310,286,284
90,308,285,280
91,309,284,282
92,309,285,282
93,309,287,284
94,309,287,286
95,309,288,286
96,309,286,285
97,308,285,284
98,309,285,282
99,308,284,280
100,309,288,284
101,309,290,286
102,309,290,286
103,309,286,284
104,308,284,284
105,308,282,282
106,308,284,282
107,309,285,284
108,309,286,284
109,309,288,286
110,309,290,284
111,308,286,284
112,309,281,284
113,309,278,282
114,309,280,284
115,308,284,284
116,309,288,285
117,309,288,284
118,309,286,285
119,309,286,284
120,309,284,282
121,309,280,284
122,310,280,284
123,309,284,284
124,308,287,285
125,309,288,285
126,309,286,284
127,308,284,284
128,309,284,284
129,309,284,284
130,309,282,284
131,310,282,285
132,310,284,285
133,309,286,284
134,309,286,284
135,309,285,283
136,310,284,284
137,310,284,284
138,310,284,284
139,309,282,284
140,309,282,284
141,310,284,284
142,309,286,284
143,309,286,284
144,310,284,284
145,309,284,284
146,309,285,284
147,310,284,284
148,309,284,284
149,309,282,284
150,310,284,284
151,310,286,284
152,310,286,284
153,309,286,284
154,310,284,284
155,310,284,286
156,310,284,284
157,309,282,284
158,309,282,284
159,309,284,284
160,309,286,284
161,310,286,284
162,308,284,284
163,309,284,284
164,309,284,284
165,309,284,284
166,309,284,284
167,309,284,284
168,309,286,284
169,309,286,284
170,309,284,284
171,309,284,284
172,308,282,284
173,310,285,284
174,310,286,284
175,309,284,284
176,309,284,284
177,308,284,284
178,309,285,284
179,309,284,284
180,310,284,284
181,310,284,284
182,309,285,284
183,309,285,282
184,310,284,282
185,309,284,284
186,310,284,284
187,309,284,284
188,309,284,284
189,309,284,284
190,308,285,284
191,309,287,284
192,309,286,284
193,308,282,284
194,309,282,284
195,309,284,284
196,310,285,282
197,310,284,284
198,310,285,284
199,309,285,284
200,309,286,284
201,310,285,284
202,309,282,282
203,308,282,284
204,310,284,284
205,310,286,284
206,309,286,284
207,310,285,284
208,309,284,284
209,309,284,282
210,309,284,284
211,310,282,282
212,309,282,284
213,310,286,285
214,309,288,284
215,310,286,284
216,309,284,284
217,309,281,284
218,309,282,282
219,309,284,282
220,310,285,282
221,309,286,284
222,309,288,284
223,309,286,284
224,309,282,282
225,309,280,282
226,309,282,282
227,309,285,284
228,309,288,284
229,309,287,284
230,310,286,284
231,310,286,282
232,309,284,282
233,309,282,282
234,309,282,284
235,309,285,284
236,310,288,285
237,310,287,285
238,309,284,284
239,309,282,284
240,309,284,282
241,310,284,282
242,310,284,284
243,309,284,284
244,309,286,284
245,309,286,284
246,309,286,284
247,309,284,282
248,309,282,284
249,309,284,285
250,310,285,284
251,310,284,284
252,310,284,284
253,310,285,284
254,310,285,284
255,310,285,284
256,310,284,284
257,310,282,284
258,310,284,284
259,310,285,282
260,310,284,284
261,310,285,284
262,310,286,285
263,310,286,284
264,310,284,284
265,310,282,282
266,310,282,282
267,310,285,284
268,309,286,284
269,309,285,285
270,309,284,286
271,310,285,284
272,309,284,284
273,310,284,282
274,309,282,282
275,309,282,284
276,309,285,285
277,309,286,284
278,309,285,284
279,310,285,284
280,309,285,284
281,309,284,284
282,309,282,284
283,309,281,284
284,310,281,284
285,309,286,284
286,310,288,284
287,309,287,284
288,309,284,285
289,309,284,284
290,310,282,282
291,310,280,282
292,309,281,282
293,309,284,284
294,310,290,286
295,310,290,286
296,310,284,284
297,309,281,282
298,309,279,281
299,309,281,282
300,309,284,284
301,309,288,286
302,309,288,286
303,309,289,285
304,310,284,282
305,309,280,280
306,310,278,282
307,309,282,284
308,309,287,286
309,309,290,286
310,309,289,286
311,309,285,284
312,310,284,282
313,309,282,282
314,309,280,282
315,310,282,284
316,310,287,286
317,310,289,285
318,310,288,284
319,309,284,284
320,309,282,284
321,310,282,284
322,309,282,284
323,309,281,282
324,309,284,284
325,309,288,284
326,309,289,284
327,309,286,284
328,309,284,284
329,309,280,284
330,309,282,284
331,309,282,284
332,309,282,282
333,309,284,284
334,309,288,284
335,309,288,284
336,309,285,284
337,309,282,284
338,309,281,284
339,309,284,284
340,310,284,284
341,309,284,282
342,310,285,284
343,310,286,284
344,309,285,284
345,309,284,284
346,309,284,284
347,309,284,284
348,309,286,284
349,309,286,284
350,309,284,282
351,309,282,284
352,310,285,284
353,310,286,284
354,309,286,284
355,310,284,284
356,310,284,284
357,310,284,284
358,309,284,284
359,310,282,282
360,310,284,284
361,309,287,285
362,309,288,285
363,309,285,284
364,310,284,284
365,310,282,284
366,310,282,284
367,310,284,284
368,309,284,284
369,309,284,284
370,309,288,284
371,310,286,284
372,310,284,284
373,309,282,284
374,309,284,284
375,310,284,284
376,310,284,284
377,310,284,284
378,310,284,284
379,310,286,284
380,309,286,284
381,309,282,284
382,310,282,284
383,309,284,284
384,309,285,282
385,309,286,284
386,310,285,284
387,309,284,285
388,309,286,286
389,309,285,284
390,309,282,284
391,310,282,284
392,310,284,282
393,309,286,284
394,310,286,284
395,310,285,284
396,310,284,284
397,309,285,284
398,309,284,284
399,310,284,284
400,309,284,284
401,309,286,284
402,310,286,284
403,309,285,284
404,309,284,284
405,309,281,284
406,310,284,284
407,310,284,284
408,309,284,284
409,309,281,284
410,309,284,284
411,309,284,284
412,309,281,284
413,309,279,284
414,309,277,285
415,309,281,286
416,309,284,284
417,309,282,284
418,309,281,284
419,309,280,284
420,309,281,284
421,309,280,284
422,309,282,285
423,309,280,286
424,309,282,285
425,308,281,284
426,309,279,284
427,309,280,284
428,309,286,284
429,309,287,284
430,309,286,286
431,310,284,285
432,310,282,284
433,310,284,284
434,310,284,282
435,309,284,284
436,309,284,286
437,310,287,286
438,309,287,286
439,309,284,284
440,309,282,282
441,309,281,282
442,310,284,284
443,309,286,284
444,310,284,286
445,309,284,286
446,309,285,284
447,310,284,282
448,309,282,282
449,309,282,284
450,309,284,284
451,310,288,286
452,309,288,285
453,309,284,284
454,309,284,284
455,309,284,282
456,310,282,284
457,310,282,284
458,309,284,285
459,309,285,284
460,309,288,284
461,309,288,284
462,309,284,282
463,309,281,284
464,310,282,284
465,310,284,284
466,310,284,284
467,309,286,284
468,309,287,284
469,309,287,284
470,310,285,284
471,309,281,282
472,310,280,284
473,309,284,284
474,309,286,285
475,309,286,285
476,309,286,284
477,309,285,284
478,309,284,282
479,309,284,284
480,309,282,282
481,309,284,284
482,309,286,284
483,309,287,284
484,309,285,284
485,309,284,284
486,310,284,284
487,310,284,284
488,309,284,284
489,309,284,284
490,309,285,284
491,309,288,284
492,310,286,284
493,310,284,284
494,309,282,284
495,309,282,284
496,309,284,284
497,309,286,284
498,309,286,284
499,309,286,284
500,309,287,284
501,309,286,284
502,310,282,284
503,310,280,284
504,310,282,284
505,310,285,284
506,310,287,284
507,309,286,284
508,309,284,284
509,309,284,284
510,309,284,284
511,309,281,284
512,309,282,284
513,309,285,284
514,310,288,284
515,309,288,284
516,309,286,284
517,309,282,284
518,309,284,284
519,309,282,284
520,309,282,284
521,310,284,284
522,309,288,284
523,309,290,284
524,309,288,284
525,309,282,282
526,308,279,284
527,309,281,284
528,308,284,284
529,309,284,284
530,309,287,286
531,309,288,284
532,309,286,284
533,309,284,282
534,309,280,282
535,309,280,284
536,310,284,284
537,309,286,284
538,309,286,284
539,309,286,284
540,309,286,284
541,309,284,284
542,309,282,284
543,309,280,284
544,309,280,284
545,309,286,284
546,309,289,282
547,309,288,282
548,309,285,284
549,308,284,284
550,309,281,284
551,309,281,284
552,308,282,284
553,309,284,284
554,309,288,285
555,309,289,284
556,309,284,284
557,309,280,284
558,310,280,282
559,309,284,282
560,309,286,284
561,309,289,285
562,310,288,286
563,309,285,284
564,309,282,282
565,309,278,280
566,309,280,282
567,309,286,284
568,309,289,285
569,309,288,285
570,310,286,284
571,310,282,282
572,309,282,282
573,310,282,282
574,310,282,284
575,310,284,286
576,310,288,286
577,310,288,284
578,310,286,282
579,310,282,280
580,310,281,282
581,310,284,284
582,310,285,284
583,310,285,284
584,309,286,285
585,309,286,284
586,309,285,282
587,309,282,283
588,309,282,284
589,309,284,284
590,309,286,284
591,309,287,284
592,309,285,282
593,309,284,284
594,309,285,284
595,310,284,284
596,309,282,284
597,309,282,284
598,309,284,284
599,309,287,284
600,309,288,284
601,309,286,282
602,309,284,282
603,309,284,284
604,309,282,284
605,309,282,284
606,308,284,284
607,309,286,284
608,309,287,284
609,309,286,284
610,308,284,282
611,309,284,282
612,309,284,282
613,309,284,284
614,309,282,284
615,309,284,284
616,308,286,284
617,309,288,284
618,309,286,284
619,309,284,282
620,309,282,282
621,309,284,282
622,309,285,282
623,309,284,284
624,309,284,284
625,309,284,284
626,308,286,284
627,309,285,284
628,308,284,282
629,309,284,284
630,309,285,284
631,309,286,284
632,309,284,284
633,309,284,284
634,309,284,284
635,309,286,284
636,309,284,284
637,309,284,283
638,309,282,284
639,309,285,284
640,309,286,284
641,309,284,284
642,309,284,284
643,309,284,284
644,308,284,284
645,309,284,284
646,309,284,284
647,309,284,284
648,309,285,286
649,309,285,284
650,309,284,284
651,308,282,284
652,309,284,284
653,310,285,284
654,309,286,285
655,309,285,284
656,309,284,284
657,309,284,284
658,309,284,282
659,309,284,284
660,309,284,284
661,309,286,284
662,309,287,284
663,309,285,284
664,309,282,284
665,309,281,283
666,309,284,284
667,309,286,284
668,308,284,285
669,309,284,285
670,309,285,284
671,309,286,284
672,309,284,282
673,309,284,282
674,309,281,284
675,309,284,285
