timestamp,x,y,z
0,310,244,288
1,313,258,288
2,310,286,289
3,310,300,298
4,309,308,304
5,309,294,303
6,308,274,300
7,309,254,288
8,309,255,278
9,309,282,282
10,310,303,300
11,309,308,305
12,309,298,302
13,309,284,300
14,309,257,296
15,309,242,286
16,310,252,288
17,310,308,300
18,314,320,302
19,310,328,300
20,310,314,286
21,309,296,278
22,309,260,276
23,309,244,286
24,310,252,296
25,310,288,306
26,309,313,305
27,309,338,300
28,309,317,290
29,309,282,286
30,309,232,280
31,309,221,282
32,309,245,288
33,310,304,298
34,310,342,300
35,309,354,300
36,310,310,295
37,311,246,290
38,309,190,284
39,309,190,287
40,309,260,297
41,309,332,313
42,309,364,318
43,309,338,303
44,309,292,276
45,309,220,257
46,309,198,252
47,310,218,264
48,309,297,295
49,309,352,312
50,309,370,312
51,309,321,288
52,309,271,265
53,309,216,252
54,309,220,260
55,309,255,276
56,311,318,300
57,309,348,303
58,309,350,292
59,310,312,272
60,309,270,268
61,309,226,274
62,309,223,288
63,309,260,296
64,309,310,296
65,309,335,293
66,309,332,289
67,309,298,286
68,309,256,285
69,310,224,288
70,309,222,288
71,309,260,289
72,309,302,289
73,309,325,290
74,309,312,292
75,309,286,294
76,311,238,290
77,309,224,282
78,309,236,280
79,309,278,281
80,309,308,287
81,309,321,292
82,309,302,288
83,309,276,282
84,309,244,276
85,309,242,276
86,309,258,278
87,309,292,281
88,309,310,280
89,309,316,276
90,309,298,270
91,309,276,264
92,309,257,258
93,309,255,260
94,309,270,264
95,309,289,270
96,311,300,272
97,309,304,273
98,309,297,273
99,309,278,274
100,309,262,272
101,309,260,270
102,309,273,273
103,309,294,280
104,310,304,284
105,309,301,288
106,309,292,286
107,309,272,282
108,309,263,281
109,309,264,282
110,309,278,286
111,309,288,292
112,309,300,294
113,309,293,290
114,309,284,284
115,310,276,276
116,309,277,270
117,309,280,271
118,309,285,276
119,309,288,276
120,309,295,272
121,309,300,268
122,309,295,269
123,309,279,274
124,309,271,278
125,309,270,278
126,309,278,271
127,310,288,268
128,309,302,260
129,309,308,260
130,309,306,266
131,309,286,276
132,309,268,280
133,309,255,280
134,309,262,276
135,309,278,272
136,311,296,274
137,309,302,278
138,309,300,282
139,309,292,282
140,309,281,280
141,309,266,280
142,309,262,284
143,309,271,285
144,310,288,284
145,309,300,282
146,309,300,284
147,309,292,284
148,309,280,286
149,309,276,288
150,309,274,288
151,308,286,284
152,309,302,274
153,309,316,268
154,309,316,264
155,309,305,266
156,311,284,273
157,309,274,280
158,309,276,282
159,309,288,278
160,309,298,276
161,309,309,272
162,309,308,266
163,311,300,263
164,309,290,262
165,309,284,271
166,309,277,282
167,309,280,292
168,311,286,292
169,309,296,280
170,309,300,270
171,309,294,268
172,309,280,276
173,310,276,285
174,309,278,296
175,309,286,298
176,310,289,294
177,309,287,286
178,309,284,284
179,309,279,284
180,309,274,290
181,309,269,296
182,311,272,298
183,311,282,292
184,309,300,290
185,309,306,292
186,309,300,292
187,309,287,290
188,309,284,286
189,309,285,280
190,309,290,277
191,309,295,282
192,311,304,292
193,309,302,300
194,309,296,298
195,309,289,288
196,310,284,280
197,309,285,272
198,309,295,277
199,309,302,285
200,309,308,294
201,309,312,293
202,309,306,289
203,309,281,284
204,309,262,284
205,309,254,286
206,309,268,287
207,309,292,290
208,309,318,296
209,309,324,293
210,309,310,292
211,309,280,296
212,309,253,296
213,309,244,284
214,309,258,281
215,309,303,284
216,310,326,290
217,309,324,298
218,311,297,306
219,311,276,301
220,309,261,294
221,311,268,284
222,309,280,282
223,309,296,292
224,311,300,300
225,311,288,302
226,309,276,296
227,309,272,289
228,309,279,284
229,309,289,290
230,309,294,295
231,311,288,298
232,309,280,296
233,311,272,292
234,309,274,285
235,309,280,284
236,310,285,288
237,309,277,296
238,311,262,301
239,311,255,298
240,309,262,292
241,309,289,288
242,309,308,294
243,311,304,296
244,309,279,294
245,309,262,292
246,309,248,286
247,311,256,286
248,309,272,292
249,311,298,302
250,311,308,305
251,309,306,300
