time,x,y,z
0,280,280,157
1,279,281,154
2,279,282,156
3,278,282,156
4,276,282,154
5,279,282,154
6,279,281,155
7,277,280,156
8,277,281,157
9,278,280,155
10,278,280,154
11,278,280,158
12,277,280,158
13,275,280,158
14,279,279,157
15,278,280,159
16,277,279,160
17,276,280,160
18,278,280,159
19,278,280,157
20,278,280,160
21,276,280,161
22,276,280,159
23,278,281,159
24,279,281,160
25,278,280,161
26,277,281,160
27,279,281,158
28,280,281,156
29,278,281,158
30,278,281,158
31,277,281,156
32,279,281,155
33,280,281,156
34,278,280,157
35,278,282,155
36,278,282,153
37,279,279,152
38,278,282,154
39,277,282,155
40,276,282,154
41,279,280,154
42,279,281,156
43,277,280,157
44,276,281,157
45,278,281,156
46,278,281,155
47,278,280,158
48,277,280,159
49,276,280,157
50,278,280,156
51,278,280,158
52,276,279,158
53,276,280,157
54,278,280,156
55,278,280,155
56,277,280,158
57,276,280,159
58,276,281,157
59,279,280,156
60,279,280,158
61,277,280,159
62,277,281,158
63,278,281,158
64,279,281,157
65,279,281,159
66,278,281,160
67,278,281,157
68,279,281,157
69,279,281,158
70,278,281,158
71,277,281,157
72,279,282,156
73,279,282,156
74,278,282,157
75,278,281,158
76,278,281,156
77,279,281,156
78,279,281,157
79,277,280,158
80,277,281,156
81,279,281,156
82,279,281,155
83,278,280,157
84,277,281,158
85,278,280,155
86,278,280,155
87,279,280,156
88,277,280,158
89,277,281,157
90,279,281,156
91,279,280,157
92,277,280,159
93,277,280,160
94,279,280,158
95,279,280,158
96,279,280,160
97,278,280,160
98,277,280,158
99,279,281,158
100,279,280,158
101,278,280,158
102,273,280,159
103,277,280,156
104,279,280,155
105,279,280,157
106,277,281,157
107,275,280,156
108,279,282,156
109,279,281,156
110,278,281,158
111,276,282,159
112,279,281,157
113,279,281,156
114,279,282,158
115,278,281,159
116,277,282,157
117,279,282,156
118,280,281,156
119,278,281,157
120,278,282,157
121,279,281,155
122,280,281,154
123,279,281,156
124,277,281,156
125,276,281,155
126,278,282,155
127,279,281,155
128,277,280,157
129,276,281,157
130,278,280,156
131,278,280,155
132,277,280,158
133,276,280,159
134,275,280,158
135,278,280,157
136,278,280,158
137,276,279,159
138,276,282,159
139,278,280,158
140,278,280,156
141,276,280,159
142,277,280,159
143,276,280,158
144,279,281,158
145,279,280,159
146,277,280,159
147,278,281,159
148,279,281,158
149,280,281,156
150,279,281,158
151,278,281,159
152,276,281,157
153,280,281,156
154,280,281,156
155,278,280,157
156,278,282,156
157,279,282,154
158,279,282,152
159,280,282,155
160,278,282,156
161,276,282,154
162,278,282,154
163,279,282,156
164,277,280,157
165,277,282,156
166,278,281,155
167,278,281,154
168,278,281,157
169,277,281,158
170,276,280,156
171,278,280,156
172,278,280,158
173,277,279,158
174,276,280,158
175,278,280,157
176,278,281,156
177,277,281,159
178,277,280,160
179,276,280,158
180,279,280,158
181,279,280,159
182,278,281,160
183,277,280,159
184,279,282,159
185,279,280,158
186,278,280,160
187,278,281,160
188,278,281,158
189,279,281,156
190,280,281,157
191,278,279,158
192,278,281,156
193,279,282,156
194,279,281,155
195,278,281,157
196,278,282,156
197,278,281,155
198,279,282,155
199,280,281,156
200,277,280,157
201,277,281,156
202,278,282,157
203,278,281,155
204,277,281,157
205,277,281,158
206,278,280,155
207,279,281,155
208,279,280,156
209,277,280,158
210,277,281,156
211,278,280,156
212,279,280,156
213,278,280,158
214,277,281,159
215,278,280,157
216,279,280,157
217,279,280,159
218,277,280,159
219,276,280,158
220,279,281,157
221,279,280,157
222,277,280,158
223,277,280,159
224,278,280,157
225,279,281,156
226,279,281,157
227,278,281,158
228,277,281,156
229,279,282,156
230,279,281,156
231,277,281,157
232,277,282,159
233,278,282,157
234,279,281,156
235,279,282,158
236,278,281,159
237,276,281,158
238,279,282,157
239,279,281,158
240,278,280,158
241,277,281,159
242,278,281,156
243,279,280,155
244,279,281,157
245,278,281,158
246,276,280,156
247,279,281,156
248,279,280,157
249,277,280,158
250,277,281,158
251,278,281,157
252,279,279,155
253,278,280,158
254,277,280,158
255,276,280,157
256,278,280,156
257,279,280,157
258,278,279,158
259,277,280,157
260,278,280,156
261,278,280,154
262,278,280,157
263,277,281,157
264,276,280,156
265,279,281,156
266,279,280,157
267,277,280,158
268,277,281,158
269,278,281,156
270,279,281,155
271,279,281,159
272,278,281,159
273,276,281,157
274,279,281,157
275,280,281,158
276,278,282,158
277,278,282,158
278,279,281,156
279,280,281,155
280,279,281,158
281,278,282,159
282,277,280,157
283,279,281,156
284,280,281,157
285,277,280,158
286,278,281,158
287,279,281,157
288,279,281,155
289,278,281,158
290,277,281,159
291,276,281,157
292,278,281,156
293,279,280,157
294,277,279,158
295,276,280,157
296,278,281,156
297,278,280,154
298,277,280,157
299,276,280,158
