time,x,y,z
0,278,281,157
1,280,280,155
2,279,281,158
3,278,280,158
4,277,281,158
5,278,281,157
6,279,281,156
7,278,281,158
8,277,281,159
9,277,281,157
10,279,280,156
11,278,281,158
12,277,280,159
13,277,280,158
14,279,282,157
15,279,281,156
16,278,281,159
17,277,281,159
18,278,281,157
19,279,281,157
20,279,281,158
21,277,280,158
22,277,281,157
23,278,281,157
24,279,281,157
25,278,281,159
26,278,281,159
27,278,281,157
28,279,281,157
29,280,281,158
30,277,280,159
31,277,282,157
32,279,282,156
33,279,279,156
34,278,281,158
35,278,282,159
36,278,281,157
37,279,281,156
38,279,281,158
39,277,281,158
40,277,281,157
41,278,282,156
42,279,281,157
43,278,282,158
44,277,281,159
45,278,281,157
46,279,281,156
47,279,281,158
48,277,280,158
49,277,281,157
50,279,282,157
51,279,281,158
52,278,281,159
53,277,281,159
54,278,281,157
55,279,281,156
56,279,281,158
57,278,280,158
58,277,281,157
59,278,281,155
60,279,281,157
61,277,280,158
62,277,281,159
63,278,281,156
64,279,280,156
65,279,281,158
66,278,281,158
67,277,281,157
68,279,281,156
69,279,281,157
70,278,280,158
71,274,281,157
72,278,281,157
73,279,281,156
74,279,281,158
75,278,281,159
76,276,281,157
77,279,281,156
78,279,281,157
79,278,280,158
80,277,281,159
81,278,282,157
82,279,281,156
83,279,281,158
84,278,281,159
85,276,282,158
86,279,281,157
87,279,281,158
88,278,280,158
89,277,281,159
90,278,281,157
91,279,281,156
92,279,281,158
93,278,281,159
94,276,281,158
95,279,281,157
96,279,281,158
97,278,280,158
98,278,281,158
99,279,281,157
100,279,281,155
101,278,281,158
102,278,281,158
103,276,280,157
104,279,281,156
105,279,281,158
106,278,280,158
107,278,281,158
108,278,281,157
109,279,281,155
110,278,282,158
111,277,281,159
112,276,281,155
113,279,278,157
114,279,281,158
115,278,280,158
116,277,281,158
117,278,281,156
118,279,280,155
119,278,281,158
120,278,281,158
121,277,281,157
122,279,281,156
123,279,281,158
124,277,280,158
125,277,281,159
126,278,281,157
127,279,281,155
128,278,281,158
129,278,281,158
130,276,281,157
131,279,281,156
132,279,281,157
133,277,280,158
134,277,281,158
135,278,281,156
136,279,281,155
137,278,281,158
138,278,281,159
139,276,281,156
140,279,281,156
141,279,281,156
142,277,281,158
143,277,282,157
144,278,281,156
145,279,281,155
146,278,281,157
147,278,281,158
148,276,281,157
149,276,281,156
150,279,281,157
151,278,279,158
152,277,281,157
153,277,281,156
154,279,280,155
155,277,281,158
156,277,281,158
157,276,281,157
158,279,281,156
159,279,281,157
160,277,278,158
161,278,281,157
162,278,281,156
163,279,281,155
164,278,281,158
165,277,281,158
166,277,281,156
167,279,281,156
168,280,281,157
169,278,280,158
170,277,281,157
171,279,281,156
172,279,281,155
173,278,281,157
174,277,281,158
175,276,281,156
176,279,281,156
177,279,281,157
178,278,280,158
179,277,281,157
180,279,281,155
181,279,281,155
182,278,280,158
183,277,281,158
184,277,281,156
185,279,280,156
186,280,281,157
187,278,280,158
188,278,281,157
189,279,281,156
190,279,281,156
191,278,281,158
192,278,281,159
193,277,281,156
194,279,281,156
195,279,281,157
196,278,280,158
197,278,281,157
198,278,282,156
199,279,281,156
200,280,281,158
201,278,281,159
202,277,281,156
203,279,281,156
204,280,281,157
205,278,280,158
206,277,281,156
207,279,281,156
208,279,281,156
209,278,281,158
210,277,281,159
211,278,279,155
212,279,281,156
213,280,281,158
214,277,281,158
215,277,281,157
216,278,282,156
217,279,281,156
218,278,281,158
219,278,281,159
220,278,281,156
221,279,281,156
222,279,281,157
223,278,280,158
224,277,281,156
225,279,282,156
226,279,281,156
227,278,281,157
228,278,281,158
229,278,281,156
230,279,280,156
231,279,281,158
232,277,281,158
233,277,281,157
234,279,282,156
235,279,280,154
236,278,280,158
237,277,281,158
238,278,280,156
239,279,281,155
240,279,281,158
241,277,281,158
242,276,281,157
243,279,282,156
244,279,281,157
245,278,280,158
246,278,281,158
247,278,281,156
248,279,281,155
249,279,281,157
250,277,281,158
251,276,281,157
252,278,281,156
253,279,281,157
254,277,280,158
255,278,280,158
256,278,281,156
257,279,281,155
258,278,281,158
259,277,281,158
260,276,281,157
261,279,281,156
262,279,280,157
263,278,278,158
264,277,281,158
265,278,281,156
266,279,281,155
267,278,281,158
268,277,281,158
269,276,281,156
270,279,281,155
271,279,281,158
272,278,279,158
273,277,281,158
274,278,280,156
275,279,281,155
276,278,281,157
277,278,281,158
278,276,281,157
279,279,281,156
280,279,281,157
281,278,278,158
282,278,279,158
283,279,278,157
284,279,280,155
285,278,281,158
286,278,281,158
287,276,281,156
288,279,281,156
289,279,281,157
290,277,279,158
291,277,281,157
292,278,281,156
293,280,281,155
294,278,281,158
295,278,281,158
296,276,281,158
297,278,281,156
298,279,282,158
299,276,280,158
300,277,281,158
301,279,281,156
302,279,281,155
303,278,281,158
304,278,281,159
305,277,280,157
306,279,281,156
307,279,281,158
308,278,279,158
309,277,280,158
310,279,281,156
311,279,280,155
312,278,281,158
313,277,281,158
314,277,281,157
315,279,281,156
316,280,281,158
317,277,280,158
318,277,281,158
319,278,281,156
320,279,280,155
321,278,281,158
322,278,281,159
323,277,281,156
324,279,281,156
325,279,281,157
326,277,280,158
327,277,281,157
328,279,281,156
329,279,281,155
330,278,281,159
331,277,280,159
332,275,280,157
333,279,281,156
334,279,281,157
335,278,280,158
336,277,281,157
337,279,281,156
338,279,281,155
339,278,280,158
340,277,281,159
341,278,281,156
342,279,281,156
343,280,281,157
344,278,280,158
345,277,281,157
346,279,282,156
347,279,281,156
348,278,281,158
349,277,282,159
350,278,281,156
351,279,281,156
352,280,281,157
353,277,280,157
354,278,281,156
355,276,282,156
356,279,281,156
357,278,281,158
358,277,281,159
359,278,281,157
360,279,281,156
361,279,280,157
362,277,281,158
363,277,281,157
364,279,282,156
365,279,281,156
366,278,281,158
367,278,281,159
368,278,281,156
369,279,280,156
370,279,281,158
371,278,282,158
372,278,281,157
373,279,282,156
374,279,281,156
375,278,281,158
376,278,281,158
377,278,281,157
378,279,281,156
379,280,281,158
380,278,281,158
381,277,281,157
382,279,282,156
383,279,281,156
384,278,280,158
385,277,281,158
386,278,281,156
387,279,280,156
388,280,281,158
389,278,281,158
390,276,281,157
391,279,282,155
392,279,281,157
393,277,280,158
394,278,278,158
395,276,281,156
396,279,280,155
397,279,281,158
398,277,281,158
399,276,281,157
400,279,281,156
401,279,281,157
402,277,280,158
403,277,281,158
404,278,281,157
405,279,281,155
406,279,281,158
407,278,281,158
408,276,281,157
409,279,281,156
410,279,281,157
411,278,280,158
412,278,281,158
413,278,281,156
414,279,281,155
415,279,281,158
416,278,281,158
417,276,281,156
418,279,281,156
419,280,281,157
420,278,280,158
421,277,281,158
422,278,281,156
423,279,280,155
424,278,281,158
425,277,281,157
426,276,281,157
427,278,281,156
428,279,281,157
429,277,279,158
430,278,281,158
431,279,281,156
432,279,281,155
433,278,281,157
434,278,281,158
435,276,281,158
436,278,281,156
437,279,281,157
438,278,279,158
439,277,281,158
440,279,281,157
441,279,281,155
442,278,281,158
443,277,281,159
444,276,281,157
445,279,281,156
446,279,281,157
447,278,280,158
448,277,281,157
449,279,281,157
450,279,281,155
451,278,281,158
452,278,281,158
453,276,281,156
454,279,281,156
455,279,281,158
456,278,281,159
457,277,281,157
458,279,281,156
459,279,281,155
460,278,281,158
461,277,281,159
462,277,280,157
463,279,281,157
464,279,280,158
465,278,280,158
466,277,281,157
467,279,281,157
468,279,281,155
469,278,281,158
470,277,281,159
471,277,281,157
472,279,281,155
473,280,281,158
474,278,281,158
475,277,281,158
476,279,281,157
477,279,281,156
478,278,281,158
479,278,281,159
480,277,281,157
481,276,281,156
482,279,281,158
483,278,280,158
484,277,281,157
485,280,282,156
486,279,281,156
487,278,281,158
488,277,281,158
489,277,280,157
490,278,281,156
